"","GSM2779536","GSM2779537","GSM2779538","GSM2779539","GSM2779540","GSM2779541","GSM2779542","GSM2779543","GSM2779544","GSM2779545","GSM2779546","GSM2779547","GSM2779548","GSM2779549","GSM2779550","GSM2779551","GSM2779552","GSM2779553","GSM2779554","GSM2779555","GSM2779556","GSM2779557","GSM2779558","GSM2779559","GSM2779560","GSM2779561","GSM2779562","GSM2779563","GSM2779564","GSM2779565","GSM2779566","GSM2779567"
"hsa-miR-30b-5p",3.0069,3.5226,6.6234,-3.3219,3.0115,4.0849,6.4527,6.6256,6.2148,4.2145,6.5632,5.1675,7.3476,4.7829,6.1123,-3.3219,-3.3219,-3.3219,-3.3219,4.1454,5.0992,-3.3219,5.6416,5.3269,6.0511,4.3308,6.1604,4.9911,6.6234,5.6343,2.9824,4.4039
"hsa-miR-30c-1-3p",1.4819,2.4611,2.8999,5.4503,2.8554,3.1614,3.4261,2.9232,2.6382,4.9671,2.6019,-3.3219,-3.3219,-3.3219,2.2376,2.2537,1.9898,2.4046,3.4045,-3.3219,-3.3219,2.7971,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-30c-2-3p",1.7273,-3.3219,2.836,1.9612,-3.3219,5.1816,5.1099,3.9772,-3.3219,-3.3219,1.9035,2.4574,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.4023,3.029,-3.3219,2.1331,-3.3219,1.6254,1.8833,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-30c-5p",3.4907,3.3856,7.6691,-3.3219,3.2904,7.8781,8.1472,6.031,7.0411,5.0365,6.5781,7.43,6.7522,5.4468,6.3737,-3.3219,-3.3219,-3.3219,-3.3219,3.6677,5,-3.3219,7.1021,4.2862,6.6659,5.0926,6.2158,7.1879,5.701,6.2186,3.4484,3.4199
"hsa-miR-30d-5p",4.6301,4.5561,6.4681,3.81,3.8015,4.9173,6.9047,6.9275,6.639,4.5792,6.2496,5.6811,7.4118,5.0378,6.4599,2.781,3.1527,3.4687,4.3112,3.3343,3.837,3.5697,4.8902,4.4969,5.4138,4.0964,5.8944,4.9388,5.6665,5.4372,4.1073,3.6467
"hsa-miR-30e-3p",-3.3219,-3.3219,5.3001,-3.3219,-3.3219,4.9476,5.1967,3.0107,2.7387,-3.3219,2.4823,4.2827,3.895,1.4673,2.363,-3.3219,-3.3219,-3.3219,-3.3219,1.5707,2.0142,-3.3219,4.4717,1.34,3.7683,1.836,3.6818,4.4571,2.4965,3.6479,-3.3219,-3.3219
"hsa-miR-30e-5p",2.8693,3.1363,6.8532,-3.3219,2.3853,6.303,5.6495,6.162,3.441,2.7545,4.7387,4.5792,6.2165,4.4946,5.4959,-3.3219,-3.3219,-3.3219,1.8286,4.0471,3.1226,2.137,4.1373,4.5009,3.7477,3.508,4.5374,4.5102,5.6747,5.5645,3.6863,3.5147
"hsa-miR-31-3p",4.0704,3.3953,5.6762,-3.3219,2.5187,2.4795,6.299,4.2968,-3.3219,3.7967,2.5063,3.5365,-3.3219,-3.3219,5.863,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,4.9913,-3.3219,5.5322,3.5505,-3.3219,4.6291,3.1018,3.5377,-3.3219,2.466,3.9229,-3.3219
"hsa-miR-31-5p",5.6237,5.5259,6.6013,-3.3219,4.9463,5.0386,7.5829,5.6554,-3.3219,5.8565,5.0886,4.9429,-3.3219,1.7446,6.8629,-3.3219,3.9075,4.4867,2.0653,-3.3219,6.2154,-3.3219,6.3373,4.3933,-3.3219,6.7333,5.3845,5.1221,-3.3219,4.0217,5.959,-3.3219
"hsa-miR-3122",-3.3219,-3.3219,-3.3219,3.2425,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
