"","GSM1315087","GSM1315088","GSM1315089","GSM1315090","GSM1315091","GSM1315092","GSM1315093","GSM1315094","GSM1315095","GSM1315096","GSM1315097","GSM1315098","GSM1315099","GSM1315100","GSM1315101","GSM1315102"
"hsa-miR-15b",0.001852786,0.001069197,0.002147255,0.001691388,0.002028925,0.001554345,0.000886913,0.001693064,0.001401862,0.000251833,0.000300823,0.004143499,0.001113982,0.000503115,0.002892998,0.044674621
"hsa-miR-17",0.177411938,0.331158777,0.168589548,0.150539605,0.123141205,0.192923696,0.281764742,0.192268297,0.001037409,0.000378893,0.00019635,0.1389176,0.007405259,0.000896063,0.008365045,0.006783424
"hsa-miR-181a",6.15e-06,2.59e-05,1.69e-05,1.56e-06,9.17e-06,9.64e-06,1.07e-05,1.87e-05,8.23e-05,0.021262401,0.084917388,0.00740903,3.513183663,0.000896063,0.009728385,0.001983397
"hsa-miR-181c",0.01418266,0.555745783,4.97e-06,7.09e-06,0.001334331,0.000115636,0.015691238,6.99e-06,0.002313993,0.000835721,3.33323908,0.000645505,0.006771452,0.006929505,0.010393252,0.001479832
"hsa-miR-182",5.23e-06,0.281906178,0.004170867,0.006672758,1.54e-06,1.56e-05,4.5e-06,0.015520682,0.018294262,0.00082394,0.000580786,0.055394529,14.96829508,0.001873972,0.000903796,0.002270388
"hsa-miR-183",2.88e-06,0.01909237,0.013192621,0.000884218,0.001256631,2.55e-06,2.6e-06,0.000365213,0.002313993,0.005452348,0.003767797,0.000724069,0.015108257,0.001129355,0.00394325,0.011912329
"hsa-miR-184",9.45e-05,0.000170883,0.000377304,0.000169396,0.000206204,0.000230488,0.000670564,0.000242174,0.002140391,0.000526174,0.002247115,0.006278425,0.001113982,0.006929505,0.000457514,0.000340376
"hsa-miR-185",8.73e-05,0.000151954,5.04e-06,4.76e-05,4.64e-05,5.21e-05,6.51e-05,0.000105706,0.00030418,0.003110804,0.000302777,0.00740903,0.002117431,0.000559774,0.093844239,0.020272802
"hsa-miR-186",0.007845331,0.00991587,0.014566691,0.008931654,0.006132851,0.008320868,0.00745748,0.0059661,0.018294262,0.025691827,0.010292268,0.003634477,0.005018472,0.022292203,0.006509823,0.001479832
"hsa-miR-187",0.000249887,0.001797056,0.030261892,2.26e-06,7.96e-06,1.93e-05,0.015533094,2.34e-05,0.022730433,0.002211007,0.012846372,0.006278425,0.002117431,0.009248884,0.004197485,0.000177991
"hsa-miR-188",0.01771647,9.17e-05,0.001076487,0.000231073,4.44e-06,6.92e-05,0.033870686,0.015520682,0.002156067,0.000417175,0.005890782,0.026953909,0.005018472,0.000755381,0.010747024,0.001936382
"hsa-miR-18a",0.00027428,0.000816078,0.000467565,0.000173248,0.000155948,0.00030676,0.000529046,0.000170875,0.6926061,0.002211007,0.005890782,0.000645505,0.006720187,0.001873972,0.005328422,0.002270388
"hsa-miR-18b",8.57e-06,6e-06,1.84e-05,2e-05,1.49e-05,1.23e-05,2.42e-05,6.38e-06,0.022763181,0.000278921,0.010292268,0.00740903,0.029021522,0.004955471,0.006509823,0.020272802
"hsa-miR-190",0.001852786,1.44e-05,0.00208672,3.72e-05,0.001112677,0.448727601,0.032945883,0.00028335,0.002156067,0.002211007,0.002247115,0.266179118,0.005018472,0.000350282,0.0195512,0.840310432
"hsa-miR-191",0.032664718,0.01909237,0.031106265,0.034420336,0.020381535,0.025287706,0.032945883,0.014747741,0.004728188,0.002211007,0.245634447,0.014674278,0.102204102,0.000590505,0.016840117,0.044674621
"hsa-miR-192",0.000500396,0.000442233,0.000441893,0.000610448,0.000497156,0.000502968,0.000529308,0.000518384,0.000638379,0.000226057,3.33323908,0.006278425,0.007405259,0.000350282,0.007824461,0.000177991
"hsa-miR-193a",1.68e-05,0.00126079,4.97e-06,0.000124716,1.01e-06,4.95e-06,9.88e-06,0.000153756,0.001037409,0.000378893,0.012846372,0.000186861,0.0005318,0.034077445,0.030727858,0.002121859
"hsa-miR-193b",5.09e-05,0.000212291,8.45e-05,4.84e-05,0.000122417,8.08e-05,0.000113888,3.63e-05,0.000346142,0.000217807,0.01161429,0.004143499,14.96829508,0.001873972,0.000476552,0.003489447
"hsa-miR-194",2.94e-05,0.000136136,7.42e-05,0.000272071,5.33e-05,8.81e-05,4.38e-05,0.000218569,0.000305417,0.000217807,0.012846372,0.010865138,0.195037981,0.005450767,0.004197485,0.399227305
"hsa-miR-195",0.001275305,0.00132131,0.001353053,0.001596301,0.000614684,0.001151538,0.001159801,0.001034816,0.019053264,0.014768123,0.000691051,0.000690579,0.002117431,0.001129355,0.005328422,0.002289698
"hsa-miR-196b",0.000249887,3.03e-06,4.16e-06,1.33e-06,0.000116276,4.11e-06,0.000252959,2.61e-05,0.0038294,0.025691827,0.000691051,0.007907171,0.009816912,0.067426055,0.000457514,0.021792044
"hsa-miR-197",0.000339838,0.000275545,0.000844348,0.00125986,0.000285813,0.000456464,0.000366188,0.000396048,0.001082565,0.00082394,0.134742306,0.003634477,0.102204102,0.000350282,0.005591395,0.005273174
"hsa-miR-198",0.001177362,0.000838674,2.76e-05,4.76e-05,4.44e-05,8.21e-06,0.001159801,1.78e-05,0.005567271,0.005452348,0.00012665,0.010865138,0.014927755,0.001129355,0.000857505,0.443957753
"hsa-miR-199a",0.009343981,0.000206497,4.15e-05,2.77e-05,1.05e-05,0.001554345,0.00019441,9.21e-05,0.000638379,0.063492513,0.084917388,0.002021725,0.008232983,15.33775048,0.000495117,0.000177991
"hsa-miR-199b",0.00010838,0.01909237,1.15e-05,0.001899501,0.000298791,0.011084389,1.03e-06,7.36e-07,0.005567271,0.000835721,0.001609501,0.000690579,0.00164316,0.005450767,0.010393252,0.000583691
"hsa-miR-19a",0.009343981,0.018598976,0.025012568,0.019549303,0.012957763,0.014799565,0.015533094,0.009091662,0.000373559,0.000264785,0.001354437,0.004143499,0.015108257,0.007188278,0.078549396,0.002121859
"hsa-miR-19b",0.102021845,0.165803573,0.10018754,0.083686864,0.079620045,0.107617879,0.140361191,0.105478203,0.002156067,0.005452348,0.001354437,0.00740903,0.008232983,0.004024795,0.017738121,0.028652589
"hsa-miR-200a",0.000165962,2.99e-05,0.000121206,2.92e-06,5.33e-05,2.74e-05,3.58e-05,1.2e-05,0.000638379,0.000226057,0.00019635,0.001374905,0.006720187,0.009248884,0.009728385,0.001983397
"hsa-miR-200b",0.423843333,0.002595814,2.5e-05,8.57e-06,4.72e-06,2.42e-05,0.000164272,2.2e-05,0.001401862,3.288018235,0.000302777,0.009872515,0.008232983,0.000839835,0.023055807,0.001983397
"hsa-miR-200c",0.00013146,0.000330707,0.000284732,0.000514293,0.000298791,0.000285711,0.000268107,0.000304737,0.000295757,0.000835721,0.012846372,0.055394529,0.005018472,0.006929505,0.004949704,0.002289698
"hsa-miR-202",1.88e-05,2.95e-06,0.001076487,6.83e-06,1.39e-05,1.08e-05,3.58e-05,0.000396048,0.000281082,0.000835721,0.00019635,0.000645505,0.006910237,0.025379809,0.030727858,0.000324073
"hsa-miR-203",0.007117148,0.00991587,1.01e-05,4.52e-06,1.37e-06,0.001285784,0.001665832,0.00028335,8.48e-05,0.00082394,0.000302777,0.010865138,0.000547521,0.067426055,0.000234442,0.00086315
"hsa-miR-204",0.003513046,5.33e-06,0.000284732,0.008931654,0.013866452,1.93e-05,3.27e-06,0.000407979,0.19810305,0.063492513,0.00012665,0.00740903,0.001589764,0.025379809,0.000355604,0.840310432
"hsa-miR-205",2.87e-06,2.78e-05,0.005440953,0.006672758,0.00020263,0.060239551,0.000252959,1.65e-06,0.000262626,0.005452348,0.134742306,0.000645505,0.009816912,0.009647361,0.005591395,0.017736256
"hsa-miR-208",0.000500396,0.005897307,0.013192621,3.66e-05,9.35e-06,0.000181496,4.13e-05,9.13e-07,5.09e-05,0.004343848,0.012846372,0.002021725,0.014927755,0.034077445,0.010393252,0.007528438
"hsa-miR-208b",0.000177226,1.05e-05,0.006733321,4e-06,0.000408001,4.4e-05,0.000268107,3.63e-05,0.001136541,0.000112938,0.01161429,0.055394529,0.001589764,0.025379809,0.006509823,0.001952637
"hsa-miR-20a",0.051109738,0.096624242,0.030261892,0.037219462,0.04567921,0.060239551,0.103167467,0.109813079,0.002486784,0.010597408,0.001609501,0.003634477,3.513183663,0.329661657,0.003891327,0.011912329
"hsa-miR-20b",0.000281764,0.005599055,0.000408916,0.000170727,0.00047176,0.000660609,0.000584127,0.001809028,8.48e-05,0.000173203,0.002340209,0.000186861,0.029021522,0.000559774,0.013691943,0.004301302
"hsa-miR-21",0.006491844,0.007801369,0.006733321,0.002262753,0.003289522,0.006318431,0.016914625,0.00936404,0.000262626,3.288018235,0.001354437,0.266179118,0.005018472,0.007188278,0.000857505,0.000340376
"hsa-miR-210",5.63e-05,0.003429598,7.11e-06,1.14e-05,3.1e-06,1.44e-05,3.97e-05,7.48e-06,0.001037409,0.000251833,0.010292268,0.010865138,0.102204102,0.001129355,0.00073922,0.000324073
"hsa-miR-211",0.00898706,9.13e-06,4.91e-05,1.56e-05,5.92e-07,0.060239551,0.001307845,1.75e-05,8.23e-05,0.000835721,0.007511958,0.006278425,3.513183663,0.000896063,0.000476552,0.002121859
"hsa-miR-212",5.48e-05,3.91e-05,2.23e-05,1.07e-05,1.27e-05,3.49e-05,4.21e-06,0.000258309,0.003521542,0.000217807,0.002247115,0.000645505,0.005018472,0.004024795,0.000457514,0.001983397
"hsa-miR-214",0.00010838,3.72e-05,4.02e-05,4.7e-05,1.05e-05,0.001554345,0.00148087,5.93e-07,0.012918219,0.007653356,0.000691051,0.007686808,0.006771452,0.000350282,0.000504416,0.005273174
"hsa-miR-215",2.87e-06,7.72e-05,0.000408916,2.02e-06,1.99e-06,0.000502968,4.97e-06,2.56e-05,0.003521542,0.025691827,0.007511958,0.000175911,0.001589764,0.000559774,0.006509823,0.000177991
"hsa-miR-216a",8.33e-06,0.007801369,0.001259795,0.001691388,0.001251129,4.92e-05,0.000927016,1.87e-05,0.001398213,0.000173203,3.33323908,0.00740903,0.010261931,0.025379809,0.219985296,0.02571784
"hsa-miR-216b",1.68e-05,0.000196464,5.22e-05,1.14e-06,4.79e-07,0.11062806,0.002650055,0.005580723,0.001401862,0.000835721,0.012846372,0.00740903,0.006910237,0.567759561,0.0195512,0.029275737
"hsa-miR-217",1.78e-05,9.52e-05,2.92e-06,0.090758149,0.000206204,0.000365132,6.86e-05,0.000148624,0.000281082,0.000226057,0.005890782,0.001374905,0.102204102,0.001873972,0.0195512,0.000259739
"hsa-miR-218",0.000138555,0.000823347,0.002251195,8.14e-06,5.7e-05,9.91e-06,1.31e-06,1.03e-06,0.001082565,0.000345957,0.00019635,0.000152804,0.005018472,0.006929505,0.000495117,0.015045379
"hsa-miR-219",0.002121748,1.44e-05,4.61e-05,4.7e-05,0.003170844,4.11e-06,0.021155286,0.001158305,0.022730433,0.005452348,0.245634447,0.266179118,14.96829508,0.000350282,0.004069612,0.001983397
"hsa-miR-22",0.000672545,0.005768544,0.55023774,3.11e-05,2.67e-06,8.35e-05,1.76e-06,1.2e-05,0.00030418,0.021262401,0.000691051,0.000186861,0.060572678,0.004024795,0.000314819,0.017736256
"hsa-miR-220",2.07e-05,0.000436527,0.002147255,1.35e-06,2.24e-06,8.21e-06,0.000307569,0.178611243,0.002156067,0.000217807,3.33323908,0.007686808,0.015108257,0.034077445,0.001601113,0.012284571
"hsa-miR-220b",0.00013146,0.15250379,7.11e-06,1.35e-06,5.92e-07,9.38e-06,1.33e-05,1.2e-05,0.003521542,0.000264785,0.000302777,0.000294407,0.009816912,0.001873972,0.004069612,0.001952637
"hsa-miR-220c",0.000165962,0.000254547,0.002097924,9.64e-06,0.000122417,5.41e-05,3.58e-05,6.38e-06,0.19810305,0.005938496,0.002137605,0.000186861,14.96829508,0.004955471,0.000857505,0.002211283
"hsa-miR-221",4.18e-05,0.000257306,6.11e-05,1.65e-05,4.44e-06,4.69e-05,0.001665832,7.76e-05,0.000281082,0.000950661,0.002247115,0.000152804,0.002117431,0.000839835,0.000476552,0.001936382
"hsa-miR-222",0.034864775,0.119520086,0.046122579,0.035452864,0.030363786,0.037924661,0.006669924,0.081767696,0.000281082,0.018365389,0.000300823,0.010865138,0.006771452,0.129479266,0.004097163,0.015727894
"hsa-miR-224",9.98e-06,9.52e-05,0.000555355,4.7e-05,0.007693904,0.008817627,1.31e-06,4.64e-05,0.000295757,0.000226057,0.002247115,0.0008749,0.015108257,0.025379809,0.000457514,0.000324073
"hsa-miR-23a",0.423843333,1.05e-05,4.58e-05,0.027412885,0.325087841,9.49e-05,8.24e-06,0.000510769,0.0038294,0.000441055,0.055142588,0.001213808,0.006910237,0.003754184,0.005328422,0.011912329
"hsa-miR-23b",9.98e-06,0.000271395,2.9e-06,4.76e-05,0.000133229,4.11e-06,1.62e-05,0.18905053,0.000346142,0.021262401,0.001609501,0.055394529,0.008232983,0.005450767,0.010747024,0.001936382
"hsa-miR-24",0.01418266,0.019641487,0.012425218,0.00933937,0.00912714,0.012474306,0.012847309,0.012399767,5.09e-05,0.005452348,0.001609501,0.002021725,0.006910237,0.000896063,0.010393252,0.001952637
"hsa-miR-25",0.00050197,0.000545227,0.000490502,0.000540419,0.000650812,0.000608712,0.000838826,0.000781853,0.022763181,0.025691827,0.007511958,0.000724069,0.005018472,0.000839835,0.009728385,0.02571784
"hsa-miR-26a",0.01771647,0.029354856,0.02056627,0.017655359,0.012599476,0.017912536,0.021155286,0.011755419,0.000346142,0.000526174,3.33323908,0.015896305,0.009816912,0.067426055,0.030727858,0.02571784
"hsa-miR-26b",0.007117148,0.015984639,0.013582652,0.012461331,0.005268911,0.01039313,0.014769441,0.008741398,0.005567271,0.005672523,0.001354437,0.001374905,0.001113982,0.034077445,0.000857505,0.020272802
