"","GSM3039940","GSM3039941","GSM3039942","GSM3039943","GSM3039944","GSM3039945","GSM3039946","GSM3039947","GSM3039948","GSM3039949"
"hsa-miR-331-3p",4.36850296655835,3.71717170268138,4.33776784771932,3.45523764081041,4.73818912276544,3.5469288027186,3.2894560355841,4.86162429660908,3.41246089280037,4.53681511095116
"hsa-miR-331-5p",4.45724055379957,4.83881979918382,3.70638900455766,3.83701059630427,4.19694313101597,4.53725433892539,3.88685368612974,3.782471830331,4.34307139349598,4.40551346605008
"hsa-miR-335-3p",7.46430384165658,7.61861356734219,6.67229266874697,8.38054316584577,8.02492825373148,6.96293326050412,7.38495038782441,8.43269343762625,7.77733644383231,7.56067342214035
"hsa-miR-335-5p",7.20717340332037,5.8689868402109,6.81269662718256,5.66790190850828,6.71481742738133,6.60690500775033,6.34431071672709,6.45569057388814,5.79122983795168,5.62828114949717
"hsa-miR-337-3p",4.69476061014841,5.13936937226159,3.70638900455766,2.11192926116196,4.24659843062276,3.36197767661772,2.42994195234772,2.60981200918664,4.27933824657989,2.81923677954592
"hsa-miR-337-5p",0,1.07361137761562,1.39444882244558,0,2.27899391788204,1.42628833633279,0,1.82868059877507,0,0
"hsa-miR-338-3p",3.52146622350642,2.43796838066215,2.7790435621936,0,3.01159497527639,3.10332099400337,2.98122358293604,3.782471830331,2.17256121908651,3.1822450539082
"hsa-miR-338-5p",6.3386956195242,5.46215430437051,5.97493024086977,5.84513181816172,6.17567997844343,6.04988553815288,5.65906289634732,6.07371609248099,5.90117722951621,5.37106839988944
"hsa-miR-339-3p",6.70767183995894,7.3025633552013,6.70869531572738,6.33529300960419,6.92765557132285,7.04511432310094,6.62652242437795,6.79104811189985,6.58078192596958,7.00242881660907
"hsa-miR-339-5p",8.44401903275639,7.80118292892309,7.65591087696325,6.78984345369321,7.97055668553372,7.53531272988393,7.80458714086371,8.01549416398945,7.60606999100038,7.34468393359316
"hsa-miR-33a-3p",1.2081509716591,0,0.723822734171863,0,0,0.357560248083621,0.702178463394378,0,0,0
"hsa-miR-33a-5p",2.30195046716531,2.70564099736737,3.55466428853599,2.11192926116196,3.57506407863996,3.47576761043854,3.19384668732889,2.60981200918664,1.86043555922927,2.33302086586153
"hsa-miR-340-3p",8.22773260279143,7.72789867582835,7.75279215053429,8.38054316584577,8.20212460567788,7.46126097028959,7.47413276229832,7.80112307728428,7.65711251057854,7.51362240524197
"hsa-miR-340-5p",10.2367081742093,9.70380020410156,11.780038013581,10.023756932409,10.9322357306986,10.4292807936565,10.5835936215082,10.2416319101745,8.64407689657683,9.57798396581766
"hsa-miR-342-3p",8.1698274128466,7.27195453246776,6.84984222777191,5.92619904977156,7.53887103067651,6.76449417347554,6.58943191346084,6.91826304907954,7.48415979160955,7.25216612343242
"hsa-miR-342-5p",5.42402269525386,6.82882093313966,4.75820165343824,7.32633153514094,6.226059816558,5.96148664729226,6.39892547664575,7.86568986440676,7.74820659740117,7.06903146298639
"hsa-miR-345-5p",6.1114798554814,5.53270678159255,5.32528362473334,5.23072510254154,5.56195921172321,5.20948990629207,4.55891333866919,5.09497787456227,5.62170514256784,4.53681511095116
"hsa-miR-34a-5p",2.30195046716531,1.07361137761562,2.19646167769274,0,2.76130456661895,1.0874827238272,1.172435849589,2.60981200918664,0.908472904179639,2.33302086586153
"hsa-miR-34c-5p",0,6.22909920373755,5.31351314397465,7.73911994177507,6.920024550598,3.800934761222,5.38378641663165,7.78451954900684,3.63247163279351,6.80814434713328
"hsa-miR-3529-3p",11.4390285235007,11.5818712622511,10.6221688963655,12.1735330516516,11.0795103674365,10.8700891361993,11.6255365631203,12.1464306795289,11.122571329469,12.0849766090578
"hsa-miR-3591-3p",6.08387455535631,8.79076589610121,7.71973016156688,11.1862414418662,8.27273009322997,7.70242653509933,8.23211728551006,10.7123062718485,9.39032372886512,13.7732197810486
"hsa-miR-3591-5p",0,0,0.406837252782322,2.11192926116196,1.19185608233661,0,0,0,0,0
"hsa-miR-3605-3p",1.2081509716591,1.07361137761562,1.39444882244558,0,1.83549127640026,0.8826602356209,1.52650902797407,1.82868059877507,0,1.5942123891967
"hsa-miR-3605-5p",2.64192822836879,3.12645536918813,1.39444882244558,2.11192926116196,2.07421819911163,2.53141252008048,1.8105823539062,2.60981200918664,3.15275424885908,2.33302086586153
"hsa-miR-3609",1.2081509716591,0,0,0,0,0,0,0,0,0
"hsa-miR-3611",0,1.07361137761562,1.20358004631087,0,0.715658213611535,0.8826602356209,1.172435849589,0,0.908472904179639,1.5942123891967
"hsa-miR-361-3p",9.85714471210352,10.2945447584426,9.35282801533471,10.6815974487978,9.91724880240868,9.69183554378163,9.91571641244782,10.5100331533872,10.5034811510659,10.4946332413543
"hsa-miR-3614-5p",1.2081509716591,1.07361137761562,0,2.93458807824271,1.54927333750006,0,0,0,2.83580344859101,0
"hsa-miR-3615",6.47245029258567,7.41889049457703,5.62102257707976,8.00476599183479,7.75158146223052,7.25358937238195,6.97458630905448,7.80112307728428,7.91476646812921,7.97379925155628
"hsa-miR-361-5p",6.68947025793592,5.75556524263677,6.73981116016246,4.78562991399955,5.99861897491188,5.60921552436456,5.52798030951098,5.70161596966099,5.96333609954703,5.62828114949717
"hsa-miR-3617-3p",0,0,0.983552631145608,0,0,0,0,0,0,1.5942123891967
"hsa-miR-3617-5p",2.64192822836879,3.12645536918813,3.429386431037,0,1.83549127640026,2.53141252008048,1.8105823539062,2.60981200918664,0.908472904179639,0
"hsa-miR-3620-3p",0,0,0.406837252782322,0,0,0,0,0,0,0
"hsa-miR-3620-5p",0,3.45183851666792,1.56299074170383,0,2.76130456661895,2.21919801047406,2.42994195234772,0,0.908472904179639,2.81923677954592
"hsa-miR-362-3p",0,0,0,0,0,0.357560248083621,0,0,0,0
"hsa-miR-362-5p",4.69476061014841,3.12645536918813,4.08432228677637,0,3.12214052294201,3.93961432279688,3.69066663113779,1.82868059877507,3.00296540658323,3.47203045304131
"hsa-miR-363-3p",10.3351191326826,10.5229241929083,9.75267841166352,10.9154930305772,10.3018896598306,10.924339737215,11.0865801630382,11.0597317136479,10.6657210360381,10.3812570031861
"hsa-miR-363-5p",2.30195046716531,3.12645536918813,1.56299074170383,2.11192926116196,0.715658213611535,2.03345138327667,2.25149425518546,2.60981200918664,2.17256121908651,3.1822450539082
