"","GSM1086789","GSM1086790","GSM1086791","GSM1086792","GSM1086793","GSM1086794","GSM1086795","GSM1086796","GSM1086797","GSM1086798","GSM1086799","GSM1086800","GSM1086801","GSM1086802","GSM1086803","GSM1086804","GSM1086805","GSM1086806","GSM1086807","GSM1086808"
"hsa-miR-183*",7.076815597,7.119459934,7.465566405,7.586089166,7.382407876,7.610655774,7.240791332,6.892391026,7.195249158,6.58044702,6.95070169,6.114783447,6.85237345,6.822092774,7.023477152,7.132885254,7.860776616,7.607330314,8.321477182,8.507398241
"hsa-miR-149",7.603255425,7.306973057,6.885696373,7.30103885,6.764539899,7.048214385,7.701479748,7.217715411,7.298291731,7.462706751,7.386293635,7.218199944,7.460660665,7.188341576,7.271463028,7.276124405,6.983848674,7.285864547,7.218199944,7.389738879
"hsa-miR-381",7.232181058,7.376776572,7.316960287,7.022367813,6.532161085,7.080551077,7.186361891,7.28701972,7.212861117,7.65803292,7.46311562,7.154818109,7.425425735,7.346956889,6.881419908,7.725536678,7.840620587,7.183883459,7.133399125,6.882337361
"hsa-miR-191*",7.289096702,7.192292814,7.201143732,7.958842675,6.941927925,7.557655155,7.227375274,6.720415285,6.988684687,6.917670434,7.033423002,7.154818109,7.727239777,7.151016539,7.210914816,7.160879862,7.767522386,7.366977836,7.304465409,6.956811732
"hsa-miR-214*",7.360408175,7.686150316,7.362163012,7.071462363,6.83541884,6.900263044,7.746010382,7.361505198,7.484017257,7.562242424,7.696272084,7.483412734,6.789859641,7.260684356,6.524737587,7.440869168,6.908092341,6.975561406,7.304465409,6.865733271
"hsa-miR-1180",7.389738879,7.277519887,7.408542042,6.900866808,7.914983017,7.254083779,6.935459748,7.238404739,7.62497818,6.696272084,6.365447589,6.445428759,7.0061858,6.758889433,6.836050355,7.619669773,7.639159795,7.741129869,7.54341855,7.937079513
"hsa-miR-345",7.562624039,7.047123912,7.223036338,6.925406083,7.324630615,6.917073663,6.680183682,6.917073663,7.132114103,7.200162974,6.860466259,6.729280846,7.220378328,7.449148645,7.198690586,7.062316027,8.299894853,8.286326727,7.160627797,7.330020516
"hsa-miR-99b*",7.408966552,7.17292749,6.77016832,6.546122759,7.46515823,6.717676423,7.100662339,7.197216693,7.368942914,7.069852511,6.800252806,6.778734244,7.025693274,7.09011242,7.271463028,7.649615459,7.617283788,7.183883459,8.169173402,8.111918114
"hsa-miR-431",7.250772132,7.297374861,6.845490051,7.52277767,7.506605116,8.354249382,7.494655613,7.040837649,7.233619677,6.503825738,7.249350524,6.23935985,7.085074053,6.758889433,7.36018867,7.535664191,6.532161085,6.411087227,8.482102063,7.787576121
"hsa-miR-138-2*",7.425006041,7.724513853,6.90147032,6.6231499,7.01346226,7.378078056,7.408754313,7.601027897,7.502235115,6.883865155,6.875595783,6.899054756,7.514911265,6.977852308,7.11997861,7.577806447,6.532161085,7.439207555,7.325530332,7.755722154
