"","GSM3467238","GSM3467239","GSM3467240","GSM3467241","GSM3467242","GSM3467243","GSM3467244","GSM3467245","GSM3467246","GSM3467247","GSM3467248","GSM3467249","GSM3467250","GSM3467251","GSM3467252","GSM3467253","GSM3467254","GSM3467255","GSM3467256","GSM3467257","GSM3467258","GSM3467259","GSM3467260","GSM3467261","GSM3467262","GSM3467263","GSM3467264","GSM3467265","GSM3467266","GSM3467267","GSM3467268","GSM3467269","GSM3467270","GSM3467271","GSM3467272","GSM3467273","GSM3467274","GSM3467275"
"hsa-miR-328-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.322,-3.322,-3.322
"hsa-miR-328-3p",9.167,8.162,8.331,8.224,8.659,9.322,8.481,6.758,8.752,8.25,9.247,7.997,8.354,9.03,9.604,8.765,9.586,8.753,9.205,9.678,9.665,8.963,9.513,9.437,9.846,9.797,8.884,9.959,9.111,9.726,9.943,10.784,10.383,9.789,9.388,9.831,10.419,9.044
"hsa-miR-342-5p",5.916,6.756,5.379,7.017,6.7,7.489,6.806,6.379,8.044,7.878,7.124,8.824,6.5,7.838,5.736,6.552,7.902,6.013,7.164,7.385,8.479,6.927,6.484,6.999,5.647,6.724,6.391,6.978,8.174,7.9,7.349,7.571,5.938,6.327,6.664,6.834,6.456,6.766
"hsa-miR-342-3p",6.315,5.833,6.315,6.509,5.94,6.948,5.296,5.517,8.179,3.787,6.166,6.962,6.598,4.446,6.756,7.341,5.416,5.945,7.084,6.97,5.672,5.252,7.751,7.09,5.855,6.027,5.863,7.494,7.003,6.588,6.842,7.038,6.76,4.991,5.655,6.904,7.345,5.361
"hsa-miR-337-5p",-1,-3.322,-3.322,-3.322,1.263,-3.322,0.263,-3.322,-3.322,3.787,2.263,-3.322,0.678,-3.322,2.485,-3.322,-3.322,-1,-3.322,3.926,3.053,-3.322,-3.322,-3.322,1.485,0.379,1.433,1.963,-3.322,1.07,-3.322,-3.322,-0.737,0.485,2.35,-3.322,2.379,1.07
"hsa-miR-337-3p",0.138,-3.322,-3.322,-0.322,2.233,-3.322,1.585,2.07,1.433,-3.322,-3.322,-3.322,3.472,-3.322,2.406,-3.322,2.104,2.322,-3.322,-3.322,1.263,-3.322,3.278,2.036,3.138,5.706,-0.152,4.194,-3.322,-3.322,-3.322,3.807,2.036,2.848,2.406,3,4.285,2.322
"hsa-miR-323a-5p",1.433,-3.322,-0.152,0.678,1.263,-3.322,2.7,3.053,2,5.375,0.678,2.609,-3.322,3.446,3.293,-3.322,5.263,2.322,2.406,1.926,5,-3.322,-3.322,-3.322,2.609,2,2.433,2.963,2.07,4.293,0.585,3.07,0.138,2.536,2.963,-0.322,2.104,2.722
"hsa-miR-323a-3p",6.2,4.009,6.547,5.505,7.58,6.489,6.829,5.863,5.221,4.792,3.935,6.064,7.395,6.031,6.82,6.414,7.38,8.153,6.7,6.318,5.89,1.678,7.252,6.999,8.677,8.235,7.341,7.716,4.009,7.414,4.843,7.068,5.82,8.458,7.811,5.542,7.701,7.135
"hsa-miR-326",5.472,4.94,5.174,4.818,6.148,5.075,4.744,5.057,3.733,3.787,4.217,3.926,5.423,3.446,4.315,4.678,5.096,5.57,5.725,4.626,4.706,3.868,6.182,6.366,6.687,6.44,5.977,4.472,3.485,5.931,5.178,4.07,4.954,4.818,6.345,7.077,5.423,5.794
"hsa-miR-151a-5p",4.689,2.536,3.7,1.632,5.15,6.489,3.776,-3.322,5.296,5.375,6.404,5.304,3.667,6.254,5.285,3.087,4.902,4.615,4.517,6.096,6,5.022,4.446,5.747,4.755,5.576,5.186,4.848,5.133,5.632,5.594,5.57,5.416,4.818,5.805,5.684,5.72,5.027
