"","GSM3904621","GSM3904622","GSM3904623","GSM3904624","GSM3904625","GSM3904626","GSM3904627","GSM3904628","GSM3904629","GSM3904630","GSM3904631","GSM3904632","GSM3904633","GSM3904634","GSM3904635","GSM3904636","GSM3904637","GSM3904638","GSM3904639","GSM3904640","GSM3904641","GSM3904642","GSM3904643","GSM3904644","GSM3904645","GSM3904646","GSM3904647","GSM3904648","GSM3904649","GSM3904650","GSM3904651"
"hsa-miR-28-5p",0.0112806784380099,0.0112869195829185,0.0450296185649192,0.172460991183568,0.17688485457742,0.17243022901069,0.589097968304647,0.0886573868872317,0.0225176253565739,0.000694331856932538,0.173557401286546,0.0457328506457997,0.00138952599524664,0.0441206493950536,0.0453988784191813,0.0456604210787058,0.00566153919597576,0.0223670033433796,0.174906257404704,0.0922770674297845,0.170938391980969,0.0111827776797397,0.022662806456633,0.0228790029215851,0.171849862140225,0.0884769743021519,0.170919963963499,0.0110121977588325,0.089203547925603,0.171235847590455,0.000698066634367432
"hsa-miR-296-3p",0.000174007381657661,0.000175276799618198,8.71217229053686e-05,0.000351383290019542,0.000355147802166242,0.00140602885666402,0.00139684781208135,0.000694966337178484,0.000344604258701072,0.000694331856932538,0.000696004576979169,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,4.39726747060564e-05,8.81892523724547e-05,0.000347142793308539,0.000695990156986822,0.0028161027181358,0.000173040892234554,0.000688881083323744,0.00141675201215827,0.000707223287167975,0.000349205349388118,0.000173401522692124,0.00139977364581857,0.000678037155011903,0.000348498599734696,0.00138990073480605,0.000698066634367432
"hsa-miR-296-5p",0.0444097878158739,0.0443870964767734,0.0449030613523491,0.17157594868541,0.172873829548458,0.088136873833307,0.577499772443989,0.170768071226559,0.087350612183934,0.0105190274668526,0.172151969887643,0.0886505897700827,0.0221285100027389,0.169943224168587,0.0226655758621238,0.0867903003675202,0.00559176899379252,0.0442805319436546,0.0878894357132052,0.586146467397881,0.325925465082623,0.084661253677048,0.173060485759232,0.0229675795838128,0.0441786328273226,0.0835878790157579,0.587757225837493,0.0437928676571066,0.172340473454087,0.0852556157932548,0.000698066634367432
"hsa-miR-298",0.000174007381657661,0.000175276799618198,8.71217229053686e-05,0.000351383290019542,0.000355147802166242,0.00140602885666402,0.00139684781208135,0.000694966337178484,0.000344604258701072,0.000694331856932538,0.000696004576979169,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,4.39726747060564e-05,8.81892523724547e-05,0.000347142793308539,0.000695990156986822,0.0028161027181358,0.000173040892234554,0.000688881083323744,0.00141675201215827,0.000707223287167975,0.000349205349388118,0.000173401522692124,0.00139977364581857,0.000678037155011903,0.000348498599734696,0.00138990073480605,0.000698066634367432
"hsa-miR-299-3p",0.000174007381657661,0.000175276799618198,8.71217229053686e-05,0.000351383290019542,0.000355147802166242,0.00140602885666402,0.00139684781208135,0.000694966337178484,0.00562364383228596,0.000694331856932538,0.000696004576979169,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,4.39726747060564e-05,8.81892523724547e-05,0.000347142793308539,0.000695990156986822,0.0028161027181358,0.000173040892234554,0.0220954206964277,0.0226234235150082,0.000707223287167975,0.000349205349388118,0.000173401522692124,0.00139977364581857,0.000678037155011903,0.000348498599734696,0.00138990073480605,0.000698066634367432
"hsa-miR-299-5p",0.000174007381657661,0.000175276799618198,8.71217229053686e-05,13.8956201652127,14.098523244574,14.1912301256663,15.0405118090073,0.000694966337178484,0.000344604258701072,0.000694331856932538,0.0108635627546255,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.000699523050746634,4.39726747060564e-05,8.81892523724547e-05,16.0583611412757,14.9481616388251,17.0343317484411,0.000173040892234554,0.000688881083323744,0.00141675201215827,0.000707223287167975,0.000349205349388118,0.000173401522692124,15.9872622091468,0.000678037155011903,0.00557962532858493,0.00138990073480605,0.0109101264896388
"hsa-miR-29a",0.592843834593651,0.32941358760671,0.593340689848476,3.22180074920211,3.2299352382159,2.36881310685749,3.20426536456744,2.3511589839809,1.00987959546104,0.593257744297573,1.01252591045866,1.63177758319087,0.588582879507214,1.60262076209293,1.61470909038046,0.595046508683011,0.0894791000880157,0.594938358943834,2.3543179842657,3.2223418060693,1.59154264640938,1.00440118931496,1.02564240842798,0.337334566661569,1.60272070400836,1.60959378446882,4.11447241530618,0.0852412142786539,1.0077220535907,1.5948312996231,0.173449639909369
"hsa-miR-29b",0.0223896033297922,0.011304855566965,0.00558356304897516,0.0449927293326689,0.0451363375218648,0.00140602885666402,0.00139684781208135,0.011201931765072,0.00540510453983785,0.0222728779078397,0.0110545475557894,0.00141846713312989,0.00138952599524664,0.00275306332072081,0.0111518128021464,0.00276557638505282,8.81892523724547e-05,0.000347142793308539,0.0445365841427216,0.0445410184551201,0.011201029896804,0.0103390012236236,0.00141675201215827,0.0115586981179046,0.0221021551208382,0.0222480883433451,0.170207216283405,0.0109148085532693,0.0111314698185621,0.0437340009556979,0.000698066634367432
"hsa-miR-29c",0.00278384900785646,0.00140932940629471,0.0444456987187421,0.325403317005454,0.3279194412288,0.171125977855169,0.586524852997421,0.0879080595214208,0.0219742951432972,0.0222590270575514,0.044558140088646,0.0893394456556596,0.0222378882727742,0.0865890435099368,0.0883216035787325,0.0444199162638666,0.00570252312571176,0.0444581631044136,0.170331130252667,0.324165606252618,0.169450295919618,0.0221118730955882,0.0449259263776383,0.011590226724367,0.0448998448365366,0.0870917798954707,0.589296121887991,0.0110108662541868,0.0874732557736561,0.0444670601757924,0.0112508894821951
"hsa-miR-301a",0.170851709047203,0.170694528480816,0.0224133677356501,0.0876776883703281,0.173406029058515,0.00140602885666402,0.591964883392668,0.0886523806304028,0.0224463219124783,0.044412669674336,0.0443111716270756,0.0902471679707201,0.0445304432270194,0.0436173801312906,0.0889696398676007,0.0225507475904177,0.0229053720155373,0.0112166622003107,0.0872295606675159,0.171185609651215,0.324526609315803,0.0443476865643072,0.0887468996258169,0.0113708145545385,0.170468814202771,0.0875425301289286,0.323964423446934,0.0108566324761584,0.0112692267257557,0.0884948713919651,0.0114684162995705
