"","GSM5259648","GSM5259649","GSM5259650","GSM5259651","GSM5259652","GSM5259653","GSM5259654","GSM5259655","GSM5259656","GSM5259657","GSM5259658","GSM5259659","GSM5259660","GSM5259661","GSM5259662","GSM5259663","GSM5259664","GSM5259665","GSM5259666","GSM5259667","GSM5259668","GSM5259669","GSM5259670","GSM5259671","GSM5259672","GSM5259673","GSM5259674","GSM5259675","GSM5259676","GSM5259677","GSM5259678","GSM5259679","GSM5259680","GSM5259681","GSM5259682","GSM5259683","GSM5259684","GSM5259685","GSM5259686","GSM5259687","GSM5259688","GSM5259689"
"hsa-miR-507",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,24.267,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,35.367
"hsa-miR-147a",40,33.503,35.367,40,38.092,39.762,40,40,40,40,36.599,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,36.406,40,40,40,40,39.123,39.751,40,40,40,40,40,39.942,40,40,40,39.496,40
"hsa-miR-154-5p",32.154,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,33.579,40,39.751,40,40,40,40,32.778,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-551b-3p",40,36.54,40,40,37.134,39.762,40,40,40,40,40,35.223,39.758,40,36.992,39.884,40,40,40,39.756,40,40,40,39.751,40,38.092,40,36.376,39.335,39.123,38.653,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-216a-5p",40,40,40,40,40,39.762,40,40,40,36.311,40,40,39.758,40,40,39.884,32.154,40,40,39.756,40,40,40,39.751,40,40,40,40,33.557,39.123,40,40,40,40,40,40,39.942,40,40,40,36.255,40
"hsa-miR-217",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,35.005,40,40,39.756,40,24.024,40,39.751,40,40,40,40,40,39.123,40,40,40,38.02,40,40,39.942,40,40,40,40,40
"hsa-miR-654-3p",40,40,40,35.752,38.437,39.762,40,33.557,40,40,38.986,40,39.758,40,37.229,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,34.672,38.311,39.942,40,40,40,40,40
"hsa-miR-508-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,26.655,40,39.751,40,40,40,40,40,39.123,29.631,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-570-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,36.992,40,40,39.756,40,40,40,39.751,37.463,37.395,40,40,40,39.123,39.517,35.121,33.794,37.87,40,40,39.942,40,40,40,37.998,40
"hsa-miR-329-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,35.434,39.756,40,40,40,39.751,40,40,40,40,39.529,39.123,40,40,40,40,40,40,39.942,40,20.922,40,40,40
"hsa-miR-153-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,35.223,40,40,39.756,30.125,40,40,39.751,40,40,38.281,40,39.393,39.123,40,32.814,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-409-5p",40,40,40,40,40,39.762,40,40,40,40,40,28.097,39.758,40,40,39.884,40,40,40,39.756,40,27.511,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-219a-1-3p",30.953,40,40,40,40,39.762,40,37.156,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,34.622,36.711,39.123,40,40,40,40,40,40,39.942,40,40,40,40,34.152
"hsa-miR-377-3p",40,40,40,40,40,39.762,40,40,40,40,30.953,40,39.758,40,40,39.884,40,40,40,39.756,27.511,40,40,39.751,40,40,40,40,40,39.123,34.522,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-548c-3p",33.557,36.342,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,33.557,37.156,40,40,39.756,40,35.042,40,39.751,40,40,40,40,38.02,39.123,40,40,40,38.437,40,40,39.942,40,40,40,40,40
"hsa-miR-519e-3p",40,35.752,40,37.229,38.281,39.762,40,40,40,40,39.128,40,39.758,35.434,40,39.884,40,40,40,39.756,40,40,40,39.751,37.134,38.02,40,35.329,40,39.123,40,40,40,40,40,36.406,39.942,40,40,40,38.986,40
"hsa-miR-651-5p",32.814,40,40,40,40,39.762,40,40,40,40,37.87,40,39.758,40,40,31.331,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,38.628,39.942,40,40,32.241,37.836,40
"hsa-miR-510-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,36.599,39.884,40,40,40,39.756,40,40,34.672,39.751,40,35.223,37.229,33.351,40,39.123,40,40,40,40,40,33.453,39.942,40,40,40,40,40
"hsa-miR-129-2-3p",40,40,40,40,31.708,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,33.02,40,40,39.751,40,40,36.793,40,40,39.123,37.395,40,40,40,34.321,40,39.942,40,40,40,40,36.599
"hsa-miR-299-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,35.121,38.386,39.884,40,34.124,40,39.756,40,40,40,32.193,40,40,40,40,40,39.123,40,40,33.612,40,35.329,40,39.942,40,40,40,40,40
"hsa-miR-541-3p",40,33.409,40,33.7,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,32.428,40,40,32.154,39.123,40,40,40,40,40,40,39.942,34.305,40,40,40,40
"hsa-miR-506-3p",40,40,40,40,40,39.762,40,40,40,40,35.434,40,23.451,40,40,39.884,40,40,40,39.756,40,40,34.622,39.751,40,40,40,34.949,38.281,39.123,40,40,40,40,40,40,39.942,40,40,40,38.05,40
"hsa-miR-129-5p",40,40,40,34.289,40,39.762,40,40,40,32.319,40,27.146,39.758,40,31.186,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
