"","GSM2123259","GSM2123260","GSM2123261","GSM2123262","GSM2123263","GSM2123264","GSM2123265","GSM2123266","GSM2123267","GSM2123268","GSM2123269","GSM2123270","GSM2123271","GSM2123272","GSM2123273","GSM2123274","GSM2123275","GSM2123276","GSM2123277","GSM2123278","GSM2123279","GSM2123280","GSM2123281","GSM2123282","GSM2123283","GSM2123284","GSM2123285","GSM2123286","GSM2123287","GSM2123288","GSM2123289","GSM2123290","GSM2123291","GSM2123292","GSM2123293","GSM2123294","GSM2123295"
"hsa-miR-636",1.58496250072116,1.58496250072116,1,8.64024493622235,8.87344411251538,7.88264304936184,10.6110247973074,7.70043971814109,6.12928301694497,11.8041310211833,9.46964181723952,8.73131903102506,0,4.64385618977472,4.4594316186373,0,1,0,0,4.58496250072116,1.58496250072116,2,3,3,5.12928301694497,5.28540221886225,5.4262647547021,1.58496250072116,3.70043971814109,1,10.047123912114,9.30606168942834,10.5127404628035,8.98299357469431,0,1.58496250072116,3.16992500144231
"hsa-miR-637",1.58496250072116,0,0,3.70043971814109,5.85798099512757,3.32192809488736,10.1019756709492,6.59991284218713,5.4594316186373,11.102631888855,8.7714894695006,8.22881869049588,0,2.8073549220576,3.4594316186373,0,1.58496250072116,1,1,4,1,1.58496250072116,2.8073549220576,3.70043971814109,4.32192809488736,4.85798099512757,4,2.58496250072116,4.16992500144231,1,10.380461065089,9.86263735755879,10.7056323873614,9.07146236255662,2,1.58496250072116,3
"hsa-miR-638",3.32192809488736,3,3.4594316186373,8.4757334309664,8.74483383749955,7.7279204545632,10.7116669735643,7.7279204545632,5.95419631038687,10.7108064336994,7.89481776330794,7.16992500144231,1,7.88874324889826,7.31288295528436,0,0,0,2.32192809488736,5.32192809488736,2.58496250072116,2.8073549220576,3.16992500144231,4.08746284125034,4.64385618977472,5.39231742277876,5.78135971352466,0,3.32192809488736,0,7.48381577726426,6.79441586635011,8.2807707701306,6.75488750216347,2.58496250072116,1,2.32192809488736
"hsa-miR-639",1,1,2.58496250072116,3.70043971814109,5.08746284125034,2.8073549220576,10.1497471195047,6.7279204545632,6.33985000288462,13.3830292210842,11.3553510964248,10.3106127816595,1.58496250072116,5.04439411935845,4.75488750216347,0,0,0,0,3.70043971814109,1,0,2.58496250072116,3.32192809488736,3.70043971814109,4.24792751344359,3.70043971814109,1,3.8073549220576,0,10.9173720794768,10.1045987535644,10.8872206154684,9.2336196767597,1,2,3.58496250072116
"hsa-miR-640",4.58496250072116,4.58496250072116,4.4594316186373,14.9830826711922,15.2013581840307,14.7352386807184,15.4312690636806,13.8074555529676,11.4762399063239,10.0674343607565,8.12928301694497,7.25738784269265,3.32192809488736,9.5274770060604,8.78790255939143,0,0,0,2.32192809488736,2.58496250072116,3.4594316186373,3.4594316186373,4.39231742277876,4.39231742277876,4.39231742277876,2.8073549220576,3,0,2.32192809488736,0,5.93073733756289,5.39231742277876,6.97727992349992,5.35755200461808,2.58496250072116,1,0
"hsa-miR-641",1,1,0,2,4.8073549220576,3.4594316186373,9.44914864537544,4.52356195605701,4.16992500144231,8.87344411251538,6.32192809488736,4.90689059560852,0,1,3.16992500144231,0,0,0,0,1.58496250072116,1,1,1.58496250072116,3.16992500144231,3.58496250072116,3.8073549220576,3.16992500144231,1,3,1,8.66533591718518,7.97154355395077,9.06069593168755,7.52356195605701,0,1,2.58496250072116
"hsa-miR-642a-3p",1,0,0,7.23840473932508,8.59245703726808,7.75488750216347,10.1848753429083,8.56605403817109,7.69348695749933,9.2240016741981,7.54689445988764,6.97727992349992,0,1,3.32192809488736,0,0,0,0,2.32192809488736,0,0,0,1,3.8073549220576,4.39231742277876,3.90689059560852,2,3.70043971814109,0,6.84549005094437,6.44294349584873,7.34872815423108,6.20945336562895,0,0,1
"hsa-miR-642a-5p",1.58496250072116,0,0,2.32192809488736,3.32192809488736,4.24792751344359,9.68299458368168,5.28540221886225,4.75488750216347,8.90689059560852,6.4262647547021,4.95419631038687,0,1,3.4594316186373,0,0,0,0,2.32192809488736,0,0,0,0,3.70043971814109,3.8073549220576,3,2,3.4594316186373,0,6.91886323727459,6.4594316186373,7.49984588708321,6.32192809488736,0,0,1.58496250072116
"hsa-miR-642b-3p",1,0,0,3.70043971814109,5.04439411935845,4.70043971814109,9.7632123668144,5.75488750216347,5.08746284125034,8.92184093707449,6.52356195605701,5.12928301694497,0,1,3.4594316186373,0,0,0,0,2.32192809488736,0,0,0,0,3.8073549220576,4.24792751344359,3.4594316186373,2.32192809488736,3.4594316186373,0,6.78135971352466,6.4093909361377,7.4093909361377,6.20945336562895,1,1,2.58496250072116
"hsa-miR-642b-5p",1,0,0,7.23840473932508,8.59245703726808,7.75488750216347,10.1848753429083,8.56605403817109,7.69348695749933,9.22641219278879,7.54689445988764,6.97727992349992,0,1,3.32192809488736,0,0,0,0,2.32192809488736,0,0,0,1,3.8073549220576,4.39231742277876,3.90689059560852,2,3.70043971814109,0,6.84549005094437,6.44294349584873,7.34872815423108,6.20945336562895,0,0,1
"hsa-miR-643",0,0,0,2.32192809488736,3.16992500144231,1.58496250072116,8.7714894695006,3.70043971814109,4,9.13955135239879,6.52356195605701,5.58496250072116,0,0,3,0,0,0,0,2.58496250072116,0,1,1,1,3.8073549220576,4,3.70043971814109,1,2.58496250072116,1,7.51569983828404,6.85798099512757,8.16490692667569,6.74146698640115,0,0,1
"hsa-miR-644a",1.58496250072116,0,0,1.58496250072116,3.4594316186373,2.8073549220576,8.60362634498619,5.49185309632967,5.20945336562895,6.56985560833095,3.58496250072116,3.16992500144231,0,1,2,0,0,0,0,1.58496250072116,0,0,1,1.58496250072116,2.58496250072116,2.8073549220576,2.58496250072116,1.58496250072116,1.58496250072116,0,6.32192809488736,5.12928301694497,6.97727992349992,5.4594316186373,0,1,2.32192809488736
"hsa-miR-645",1,0,0,1.58496250072116,3.90689059560852,2.58496250072116,9.34429590791582,5.04439411935845,4.16992500144231,7.66533591718518,4.90689059560852,3.32192809488736,0,0,3.70043971814109,0,0,0,0,2.32192809488736,0,0,2.32192809488736,3.58496250072116,2,2.32192809488736,2.58496250072116,0,0,0,9.81858217748086,8.80413102118332,10.2155329997457,9.08746284125034,0,0,2
"hsa-miR-646",0,0,0,2,4.08746284125034,2.58496250072116,9.01680828768655,4.4594316186373,4.70043971814109,8.43879185257826,6.08746284125034,5.24792751344359,0,0,2.58496250072116,0,0,0,0,2,0,0,0,1,2.32192809488736,3.32192809488736,1.58496250072116,1,1,0,7,6.16992500144231,7.24792751344359,5.8073549220576,0,0,2.32192809488736
"hsa-miR-647",0,0,1,3,5.08746284125034,3.90689059560852,10.5584207132687,5.4262647547021,4.58496250072116,9.4757334309664,7.65105169117893,5.95419631038687,0,9.12153351734003,8.34872815423108,0,0,0,0,1,0,0,1.58496250072116,1.58496250072116,3.8073549220576,3.90689059560852,4,1,3.90689059560852,0,8.01122725542325,7.15987133677839,7.94251450533924,6.18982455888002,4,1,1.58496250072116
"hsa-miR-648",0,0,1,2.8073549220576,5,3.16992500144231,9.36632221424582,6.10852445677817,5.6724253419715,8.71424551766612,5.95419631038687,5.24792751344359,0,2,2.32192809488736,0,1,0,0,3,0,0,0,0,1.58496250072116,2.58496250072116,3.32192809488736,0,1.58496250072116,0,4.32192809488736,3.90689059560852,4.85798099512757,3.58496250072116,0,0,1.58496250072116
"hsa-miR-649",1,1,0,2.58496250072116,4,2.8073549220576,8.70735913208088,5.12928301694497,4.4594316186373,9.12670447284319,5.90689059560852,5.4262647547021,1,1.58496250072116,3.70043971814109,0,0,0,2,2,1.58496250072116,0,0,3.32192809488736,3,3.4594316186373,3,1.58496250072116,0,0,8.85174904141606,7.4757334309664,9.83130724380205,8.2045711442492,1,0,2
"hsa-miR-6499-3p",0,0,0,2.32192809488736,4.58496250072116,2.58496250072116,9.48179943166575,5.90689059560852,5.4594316186373,10.3944626946103,8.11374216604919,7.57742882803575,0,0,0,0,0,0,1,1.58496250072116,0,0,1,2,4.24792751344359,4.08746284125034,5.20945336562895,0,2,0,10.211888294546,9.76487159073609,9.68123841177781,7.86418614465428,0,0,2
"hsa-miR-6499-5p",1,1.58496250072116,0,2.58496250072116,4.75488750216347,3,9.61654884377899,5.6724253419715,4.75488750216347,8.61102479730735,6.16992500144231,4.95419631038687,0,3.4594316186373,4.64385618977472,2,2.32192809488736,2.32192809488736,0,2.58496250072116,1,1,2.58496250072116,2.32192809488736,4.58496250072116,4.75488750216347,4.39231742277876,1.58496250072116,2.58496250072116,1.58496250072116,7.04439411935845,6.14974711950468,7.83920378809694,6.3037807481771,3.16992500144231,1,2.8073549220576
"hsa-miR-650",1.58496250072116,0,2.58496250072116,3.4594316186373,4.70043971814109,3,9.27379559921426,4.90689059560852,4.4594316186373,8.4797802640291,5.4262647547021,4.70043971814109,0,3.4594316186373,3.90689059560852,0,0,0,1.58496250072116,2.8073549220576,1,1,2,2.58496250072116,3.90689059560852,3.16992500144231,4.58496250072116,1.58496250072116,2,1,8.7176764230664,7.89481776330794,9.28540221886225,7.4594316186373,1,1,1.58496250072116
"hsa-miR-6500-3p",1.58496250072116,0,1,2.58496250072116,4.70043971814109,2.8073549220576,9.24792751344359,5.85798099512757,5.58496250072116,8.06608919045777,5.28540221886225,4.39231742277876,0,2.58496250072116,3.32192809488736,0,0,0,0,3.32192809488736,0,1,1,2,5.08746284125034,5.75488750216347,5.55458885167764,1,2,0,8.55842071326866,7.77478705960117,8.96866679319521,7.4594316186373,0,0,1.58496250072116
