"","GSM3741565","GSM3741566","GSM3741567","GSM3741568","GSM3741569","GSM3741570","GSM3741571","GSM3741572","GSM3741573","GSM3741574","GSM3741575","GSM3741576","GSM3741577","GSM3741578","GSM3741579","GSM3741580","GSM3741581","GSM3741582","GSM3741583","GSM3741584","GSM3741585","GSM3741586","GSM3741587","GSM3741588"
"hsa-miR-10a-3p",2.56307272884274,3.03916726074311,2.08955630642049,3.96374434568776,2.75391508858379,3.16547981476885,3.02599458314012,3.592151410856,1.89569597131613,2.66994640917151,3.53258348537743,2.59325518550553,2.59968812090547,2.90475321824829,1.53787113137303,1.90148985702125,3.20332917543052,3.45800538354267,2.87207077084742,1.69201074015105,2.05926553627273,3.7316150736866,4.00318693155668,3.36532046627208
"hsa-miR-10a-5p",8.36608857015757,8.75020379323635,8.87617527984465,8.89112659057788,9.00328176109299,8.7314118799003,8.84498826022188,8.72034903508934,9.09064936979653,9.13248891532974,8.80203581407314,8.12495341809593,8.7619652205674,8.16896910329112,8.35664776043114,8.41050445158159,9.00739802270152,8.80931217386477,8.96381371822079,8.67171058150834,8.40648017029504,8.83470890679883,8.9132851688039,8.92573058005689
"hsa-miR-10b-3p",1.15536878548568,2.2047924866254,2.08955630642049,3.18788404451587,0.864555694371208,2.69620855606734,2.66881993283385,2.91368830568525,2.21039484725988,1.99277960020068,2.31166342544509,3.29433083246948,2.59968812090547,2.47046600900618,1.8230195030977,2.35162328064206,3.05285132596252,1.7563249898129,3.38980476919665,2.63362263846795,1.18084567204151,2.78134814162264,2.11809265376936,3.14954404646693
"hsa-miR-10b-5p",9.34768480275414,9.00459037183572,9.19848900440739,9.23980722456667,9.53239826483809,9.11394828507843,9.78410614905259,9.06446370530205,9.66509122363854,9.43041726601931,9.17947257608512,9.01063043732541,8.99857365102218,9.3324809673765,9.12611476629397,9.36314728250164,9.32927695327348,9.13883760265996,9.40826682002225,9.02263124775144,8.86229885871666,9.22039229263174,9.18164314921063,9.3839665355385
"hsa-miR-1180-3p",1.15536878548568,0,1.15125118344514,2.08579644013858,0,2.16603621270042,0.82014549131125,1.81295974870106,0.931308473499645,2.37073430841482,2.31166342544509,1.17545875088618,1.66413608677176,0,2.44410163149719,1.71369145045694,1.49805989093539,0.561372965562134,1.03810280057447,0.802142792830195,2.60131266270031,1.04835602756578,1.41716290234365,2.89572136565313
"hsa-miR-1183",0,0,0,0,0,0.583297160349293,0,0,0.931308473499645,0,0,0,0,0.721494881838587,0,0.54200838916634,0,0,0,0,0,0,0,1.28190062155577
"hsa-miR-1185-1-3p",0,0,0,0,0,0,0,0,0,0,0,1.17545875088618,0,0,0,0,0,0,0,0.802142792830195,0,0,0,0
"hsa-miR-1197",4.7428504124313,6.09567554987854,5.74162247833558,5.89267489384496,5.11486389944898,5.62445603907314,4.82302735647648,5.93844981946189,5.53450490095801,5.20007937325106,4.91041505007527,4.84248772384028,5.2973091099809,4.52746132229257,4.72148726788489,4.42760018594363,5.08079703112319,5.03870324770266,5.20241239319101,4.79560103914559,5.001976007183,6.51191891251119,5.2385254659152,5.67541194286931
"hsa-miR-122-3p",2.56307272884274,3.03916726074311,2.22131814419062,2.90500186218192,2.35159841921236,3.16547981476885,2.3457128323803,2.00588449720611,2.21039484725988,3.02716713913146,3.1585152919012,1.17545875088618,2.7622712336411,2.63019983524494,2.44410163149719,2.47507973359938,2.47549095074006,2.11427049490277,2.3824187083309,3.19858523880421,2.05926553627273,2.78134814162264,1.41716290234365,3.02820760495771
"hsa-miR-1224-3p",1.15536878548568,0,2.45344801766655,1.39096857983486,1.40138890911285,2.31792804372452,1.01491134928059,1.59019434892673,1.49262724834623,1.47924012814244,1.21506797444222,0,1.96062942311003,1.2002402786232,0.708895621238551,1.71369145045694,0.935318702174488,1.53739129678065,1.03810280057447,0.802142792830195,1.18084567204151,0.617379263946136,1.41716290234365,1.65415439631564
"hsa-miR-1224-5p",12.0238871617889,11.3477741637235,11.0389737127301,10.9855296699627,11.4134308124478,11.1255709983583,11.6336347155707,11.4688056633409,11.0540020463839,10.7555735089098,11.070864577208,11.7922242992629,11.0172416299148,11.640939562909,11.7228039001793,11.7499703852949,11.0506754723225,11.4316444661599,10.7572972660529,11.160710492289,11.6607970389519,10.9959623426373,11.0425450651948,11.1919869810512
"hsa-miR-1225-5p",0,0,0,0,0,0,0.594920504983004,0,0,0,1.21506797444222,1.81446585196919,0.784989176765507,0,0.708895621238551,0,0,0,0,0.802142792830195,0,0,0,0.778877639574755
"hsa-miR-122-5p",9.28661683277828,9.30277834523775,10.7343461124355,11.7808193004755,11.1367191853076,9.75489216303907,10.0328080441713,10.8288130447084,11.1295372994189,10.033674663615,13.5959910826171,9.99506611117263,8.74017486445132,11.0784520875172,10.6266540088692,10.5822862741265,8.5579345140455,7.62188508916442,8.64867990642881,10.4791695220585,9.4766947127677,8.41000413763603,10.5977215514005,14.4954537350941
"hsa-miR-1227-3p",0,0,0,0,0,0,0,0,0.931308473499645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1228-5p",0,0,0,0,0,0,0,0.587580796446138,0,1.13225591041258,0,0,0,0.721494881838587,0,0,0,0,0,0,0.708008978450852,0,0,0.778877639574755
"hsa-miR-1229-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935318702174488,0,0,0,0,0,0,0
"hsa-miR-124-3p",12.1523627118211,12.8847274382905,12.5574078270293,12.8558017615347,11.821045410333,12.4866016774505,11.9461018790789,12.5500248511066,11.9499900529261,12.0665145144145,12.3265462991887,11.8949719072283,12.5555268894665,11.87453065666,11.9328948664305,11.7945428052111,12.0381819460691,12.4757920942286,11.880142300104,12.4347005779165,12.4519407063813,13.2944228266791,12.3372992224789,12.3450409584762
"hsa-miR-1244",0,0,0,0,0,0,0,0,0.931308473499645,0,0,0,0,0,0,0.54200838916634,0,0,0,0,0,0,0,0
"hsa-miR-124-5p",6.14898523270427,6.35094218579034,6.05594294605682,6.30162883032423,5.69733702844864,6.05035597982445,5.98339272283233,6.41713961477586,5.86149148091662,6.09484191646296,6.3271669597846,5.88014080248086,6.4674850190965,6.02768661951807,5.89187652266137,6.00862412406644,6.27862219509999,6.33830044669029,5.93194180401722,5.9880002233496,6.26726944057426,6.58597337775562,6.11882739174897,5.98354571323089
"hsa-miR-1246",1.15536878548568,1.76838400823604,0.85920856725245,0,1.79174594981262,0.583297160349293,1.01491134928059,0.587580796446138,0.931308473499645,1.13225591041258,0,0,1.29051805529243,0,0.708895621238551,0,1.49805989093539,0.964469460265256,2.3824187083309,0.802142792830195,2.44223677730985,0.617379263946136,0,1.65415439631564
"hsa-miR-1247-5p",1.15536878548568,1.13970572005046,0.85920856725245,0,0.864555694371208,0,1.47838309310908,1.32663761123161,1.89569597131613,2.37073430841482,1.86514062397029,1.81446585196919,1.96062942311003,1.5590850380235,0,1.49773603331563,0.935318702174488,0,0,1.31462583004834,1.18084567204151,0.617379263946136,0,0.778877639574755
"hsa-miR-1248",0,1.76838400823604,1.15125118344514,2.08579644013858,0,1.31892909674299,1.01491134928059,1.59019434892673,1.49262724834623,0.674466222290167,1.86514062397029,0,0,0,0,0.935079528510991,1.90185705209296,0.964469460265256,1.63554584081043,0.802142792830195,0,0.617379263946136,2.58779567622543,1.28190062155577
"hsa-miR-1249-5p",0,0,0,0,1.40138890911285,0,0.327911141685394,0,0,0,0,0,0,0,0.708895621238551,0,0,0,0,0,0,0,0,0
"hsa-miR-1250-5p",0,0,0,0,0,0,0,0,0,0,1.21506797444222,0,0,0,0,0.54200838916634,0.935318702174488,0.964469460265256,0,0,0.708008978450852,0,0,0.778877639574755
"hsa-miR-1251-3p",0,1.76838400823604,0,0,0,0.583297160349293,0.327911141685394,0,0,0,0,1.81446585196919,0,0.721494881838587,0.708895621238551,1.24366545380881,0,0,0,0,0,0.617379263946136,0,0
"hsa-miR-1251-5p",4.18457987806565,5.11661847390055,4.00538143609752,5.3772512393165,3.82094085069844,5.22395049783443,5.08406909655251,5.43392357115952,5.22033738203931,5.17649685902247,4.28549402347949,4.77776607797495,5.2973091099809,4.48628700948956,4.85401087699936,4.60026373376149,4.73035545990794,4.90766207846927,5.32122245338696,4.79560103914559,4.68416667308452,4.97466219904668,5.03304255028079,5.63442181181418
"hsa-miR-1255a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561372965562134,0,0,0,0,0,0
"hsa-miR-1255b-5p",0,0,0,0,0,0,0.327911141685394,0.587580796446138,0.931308473499645,0,0,0,0.784989176765507,0,0,0.54200838916634,0,0,1.03810280057447,0.802142792830195,0.708008978450852,0,1.41716290234365,2.58750150544259
"hsa-miR-125a-3p",8.56621795000756,8.30506087061333,8.43527098365542,8.22664643366615,8.06475958686701,8.07982504322111,8.555111266924,8.32974433362937,8.38705990403673,8.27209406250416,8.34914069292062,8.08538792345872,7.77245906513386,8.4702313022388,8.37054463136257,8.40275001943987,8.49000454920075,8.6373018412437,7.80279978372215,8.17024544005442,8.21981749814272,8.2797025933266,7.99396254042723,8.84494089352591
"hsa-miR-125a-5p",9.76691891584589,10.6495105895527,10.5970306706727,11.3144564179049,10.2051324498215,10.8537589988198,10.2587649066925,10.6673858372132,11.026037177837,11.1443009618289,10.8208455280759,9.13534124109608,11.2153885796599,9.69406940329903,9.354445471279,9.63213104920768,10.654765628996,10.6833893097188,11.0588951096992,10.9786280388998,10.4795281039384,11.1719166609016,10.7869411782046,9.21005544107058
"hsa-miR-125b-1-3p",8.59397942737559,8.59273896572187,8.53045093283881,8.46390310203378,8.15891387901265,7.81838756192921,8.38051938720548,8.07390068786669,8.17705832456838,8.03370214848797,8.49894570590673,8.43408295166207,8.20246784193882,8.93167169239414,8.54978990178767,8.7622096515928,8.57183689619567,8.26589169726775,8.22471412022355,8.22505947623113,8.46196731231762,8.21893495032385,8.41701711611978,8.29371371297897
"hsa-miR-125b-2-3p",9.91916289636817,10.3194076606317,10.1841975241862,10.263583779592,10.5401978284058,10.3078850950641,9.66761659840455,10.2444463937306,10.3670783174439,10.2594992609166,10.3355269260068,9.75350614416711,10.2005640528094,10.0551214844017,9.81200339526658,9.70566758237323,10.4261134949831,10.4927163156479,10.1731903178928,10.2312905812088,10.4445374875397,10.4717424968513,10.0859886187884,10.0513356399579
"hsa-miR-125b-5p",12.575177048026,12.9218911497046,12.7441904175422,13.1480836683761,12.2665858668015,12.9419051097441,12.7880973563603,12.6284029345488,12.6352248920241,12.6616861427561,13.0809618585321,12.0999729376169,13.0585274903009,12.2879129065274,12.2394955091897,12.454196353366,12.588506875283,12.9274342289327,12.7769537501181,12.9555770997161,12.98769990205,13.0802627088915,13.0299798120777,12.1360960390781
"hsa-miR-1260b",0,1.13970572005046,0,0,0,0,0.594920504983004,0,0,0.674466222290167,1.21506797444222,0,0,1.2002402786232,1.1821232335163,0,0.935318702174488,0,0,0.802142792830195,1.18084567204151,0,0,0
"hsa-miR-1262",0,0,0,0,0,0,0.327911141685394,0,0,0,1.21506797444222,0,0,0,0,0,0.935318702174488,0,0,0,0,0,0,0
"hsa-miR-126-3p",10.9740572718121,11.8575771937231,11.9307109672686,12.2806921480227,11.4060317314921,12.0303140042344,11.0606680266545,11.8214193052249,11.9383676779977,12.1932864564802,12.0567223641816,11.0067671948795,12.3246874636376,11.1828126752341,10.7942883604827,10.8235456690129,12.2320354102147,11.8678233623521,11.8885851345112,12.1639068032199,11.8161392574041,11.6376610871261,12.1959994679681,12.8419964963189
"hsa-miR-1264",3.4355352993015,3.94863158392333,3.76740742284927,4.35547887206079,3.43953618024416,4.63905479577859,4.13649116239516,4.32937774614143,4.11487390867883,4.3693410795401,3.82935965784188,3.76409866085118,4.75653540805975,3.80506475364808,3.47933900368358,4.15962325853584,3.78370624519012,4.01983824008392,4.31928969367921,3.91934885863127,4.01838096476256,5.09226349834401,3.22542775377782,3.79538457132928
"hsa-miR-126-5p",3.59056763319435,3.70416454508396,2.82889996690473,3.42428811300179,3.43953618024416,3.16547981476885,3.86049784268521,3.65107117614219,3.19582681831812,3.47665448616004,3.35763933109685,2.86655878611784,4.25376126132367,3.3340612966736,3.47933900368358,3.27261482575817,4.6276149418302,2.93723525979025,3.52797788173208,3.91934885863127,3.39276008717455,4.51711955457876,4.95748592906836,6.04739428160921
"hsa-miR-1268a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54200838916634,0,0,0,0,0,0,0,0
"hsa-miR-1270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708008978450852,0,0,0
"hsa-miR-1271-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0.721494881838587,0,0,0.935318702174488,0.561372965562134,0,0,0,0,0,0.778877639574755
"hsa-miR-1273c",0,0,0,0,0,0,0.327911141685394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273e",0,0,0,0,0,0,0,0,0,0,0,0,0.784989176765507,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273g-3p",0,0,0,1.39096857983486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561372965562134,0,0.802142792830195,0,0,0,0
"hsa-miR-1273h-3p",0,0,0,1.39096857983486,0,0.583297160349293,1.18648369363532,0,0,1.47924012814244,0,0,0,1.2002402786232,0.708895621238551,0.935079528510991,1.90185705209296,0,1.03810280057447,0.802142792830195,0,0,2.11809265376936,1.28190062155577
"hsa-miR-1273h-5p",0,0,0,0,0,0,0.327911141685394,0,0,0,0,0,1.29051805529243,0,1.1821232335163,0,0.935318702174488,0,0,0.802142792830195,0.708008978450852,0,0,1.65415439631564
"hsa-miR-127-3p",13.0296554860951,13.5142299319143,13.5051101939723,13.7853278801704,14.1549104967514,13.3411661045139,12.8678359708324,13.2530954496083,13.1733549707953,13.2869665062135,13.4864649290675,12.6750022692618,13.7998453709744,12.7398433104739,12.6018730662652,13.0061065718626,13.2577827039684,13.52801861749,13.046220582764,13.3079407920014,14.0723984492358,13.4323385442093,13.1901836440489,12.7841713283469
"hsa-miR-127-5p",6.83190198342977,8.03413471258353,7.59330986120265,7.98935088908745,7.98287440755787,7.81519933323839,6.82706768117272,7.82478962157178,7.59458599873252,7.49026404520393,7.35355810278123,6.88330509560152,7.70406814682285,6.8234680720627,6.68878091748972,6.87380697329913,7.58250650635391,7.70973678788889,7.62172755486925,7.55772898589344,7.94358811263018,7.86621170698694,7.42123180367486,7.34033077306443
"hsa-miR-1277-3p",0,0,0,1.39096857983486,0,0,0,0.587580796446138,0,0,0,0,0,0.721494881838587,0,0,0.935318702174488,0,0,0.802142792830195,0,0,1.41716290234365,0
"hsa-miR-1277-5p",1.15536878548568,1.76838400823604,0.85920856725245,0,0.864555694371208,1.80378397867378,0,1.32663761123161,0.931308473499645,1.13225591041258,1.86514062397029,0,2.20645473723956,1.5590850380235,0.708895621238551,1.24366545380881,0.935318702174488,0,0,1.31462583004834,1.53637346388548,1.04835602756578,1.41716290234365,1.65415439631564
"hsa-miR-1278",0,0,0,0,0,0,0,0,0,0,1.21506797444222,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-128-1-5p",3.9753505052876,4.3401187062969,4.57247746860227,3.80533118443571,5.00852255644257,4.42149598218591,4.09400501594759,3.76214884511408,4.32532170200053,3.99096883973508,4.38008927068874,3.46847582555668,4.3074332037026,3.5087119606076,3.30505611156105,4.26603094173115,4.6276149418302,4.14147787093841,4.82739533402141,3.91934885863127,4.57335836766916,4.37581641064626,4.14616490673251,4.12625407326005
"hsa-miR-128-2-5p",2.56307272884274,1.76838400823604,2.22131814419062,3.18788404451587,2.91957476519843,2.69620855606734,3.23594519506021,2.46584988187171,2.68751510789419,2.79910008030207,2.65215806914827,4.31322433917769,1.96062942311003,4.21101386763604,3.96298436065523,3.68436413879743,3.46407268756219,2.11427049490277,1.63554584081043,2.23831157021543,2.99440406174664,2.0719395209979,2.94155568626232,1.65415439631564
"hsa-miR-128-3p",17.1382506606445,15.2323047520746,16.7261050295668,16.4757111482983,14.1036356295975,14.9972200335932,17.2837482075003,15.3627613273428,15.6571754391109,16.372377503536,15.6195757718664,17.1347407444567,15.3645073872406,17.2124440705438,17.1600422329012,17.1602890398075,15.4016330047995,15.455321749059,15.8067019096155,15.8160262321617,14.9268871658174,15.759672535818,15.7325772339544,15.2646426966344
"hsa-miR-1284",0,0,0,0,0,0,0,0,0,0.674466222290167,0,0,0,0,0,0.54200838916634,0,0,0,0,0,0,1.41716290234365,0.778877639574755
"hsa-miR-1285-3p",0,0,0,0,0.864555694371208,0.997501268007389,0,0,1.49262724834623,0,1.86514062397029,1.81446585196919,1.66413608677176,0.721494881838587,0.708895621238551,0,0,0.964469460265256,1.03810280057447,0.802142792830195,0.708008978450852,0,0,2.58750150544259
"hsa-miR-1287-5p",0,0,0.85920856725245,0,0,0,0.327911141685394,0.587580796446138,0,0,0,0,0.784989176765507,0,1.1821232335163,0.54200838916634,0,0,0,1.31462583004834,0,1.37976383163566,0,1.65415439631564
"hsa-miR-1289",0,0,0,0,0,0,0,0,0,0.674466222290167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1291",1.78861266849225,2.81081400862766,2.55686034390677,3.18788404451587,2.09866053082894,1.99625027721878,3.11367389384047,3.00686291745336,3.19582681831812,2.19409870972055,2.92743874487479,1.17545875088618,3.37851607683605,2.47046600900618,1.53787113137303,2.35162328064206,3.20332917543052,2.11427049490277,1.03810280057447,2.63362263846795,3.10476903123215,2.53773665272932,2.11809265376936,2.40456888526281
"hsa-miR-129-1-3p",6.35771434595911,7.66650527204238,7.63230748981545,7.63626733347943,7.5929222715162,6.9019305497319,7.21929355382532,7.17269310960084,7.56724879519104,7.57387406082439,7.52896891033133,5.41059034690544,7.64275090001789,6.93478033153311,5.54497284720479,6.415482066009,7.91252010056312,7.46371480991582,7.16214890169975,7.19001590746355,7.38361457373873,7.55405206611393,6.86135086992141,7.0828894695822
"hsa-miR-129-2-3p",5.93412049622004,8.11776241580141,7.94505710522078,8.04358838817416,8.02439787904779,7.70926757762543,7.60126842821917,7.84701031640643,8.16798766553663,8.30780766659767,8.02977801803644,5.64637090140969,7.90458163657352,6.98737315656955,6.0102257291535,6.62993319423906,8.19894828133498,8.04205024212195,7.52601732161901,7.67261706572339,7.58745156215221,8.34276829730012,7.07304739713213,7.69950241538042
"hsa-miR-1292-5p",0,0,0,0,0,0,0,0,0.931308473499645,0,0,0,0,0.721494881838587,0,0,1.49805989093539,0.561372965562134,0,0.802142792830195,0,0,0,0.778877639574755
