"","GSM2478346","GSM2478347","GSM2478348","GSM2478349","GSM2478350","GSM2478351","GSM2478352","GSM2478353","GSM2478354","GSM2478355","GSM2478356","GSM2478357","GSM2478358","GSM2478359","GSM2478360"
"hsa-miR-484",10.7954065666271,11.5044763937657,10.9525665409428,10.5309719889553,9.88836274117064,11.1197322621877,11.3339771168878,11.0582217777337,11.3693247024073,11.1422155745296,10.0692214960825,11.0543601175977,10.8081919575633,11.1855197019292,11.8233075246117
"hsa-miR-99b-5p",11.9455499129958,11.3265137542314,10.2323129908412,10.0788846472201,6.72696741670603,10.2589075294385,11.2653806334462,8.74207359975625,10.8510384484325,10.2995171342062,11.7456155058824,10.5858075822884,10.1149655942157,11.1420496037012,9.89746734172189
"hsa-miR-223-5p",10.9601105646528,10.9402989131522,11.8466735162257,9.89764884894569,8.26842503609066,11.7562519067739,11.1419155363994,11.9467345148228,13.0089415280302,12.2232807497156,10.4333141931577,11.3253897878766,11.3057539728373,11.7543405436033,10.833649127595
"hsa-miR-10b-5p",11.1767403895611,10.8564021838567,11.7003530151127,10.0749442236232,5.83213050109593,12.2794190601494,11.9998908075225,9.93177168648682,12.5353191234487,11.6439598797545,13.4990535821609,13.1506881837257,10.9185502219581,12.2892840607333,11.8988960933234
"hsa-miR-223-3p",10.550612127562,11.7053775175222,11.3503480636431,9.4638512926111,7.96168120160628,7.33949373790173,9.31793261386359,9.30183910867292,10.2464555935454,9.86672256162272,7.20525565066976,7.30988557098777,8.77863569600885,9.1753249891849,8.6764860417019
"hsa-miR-99a-5p",11.0278507198389,10.6105081388061,11.3477597632194,10.4571140686906,9.36455054658615,12.0229399223694,12.0986604925044,10.9220268394059,12.597582384222,11.4032410891658,14.3936270882921,12.3251789466654,9.78198256100538,12.0363110055388,11.308475556333
"hsa-miR-27b-3p",10.5348378353673,10.6768738582131,10.7614515035339,11.2617364767701,9.86576419645901,9.76357755984024,9.24481572156865,9.21380898691895,9.77101069262606,10.4823642925554,9.08366546952175,9.14977251884168,9.40643887954084,9.75627275921701,9.90767184385336
"hsa-miR-144-3p",8.86743319557843,8.32934787845928,8.72907686906721,7.80161136775431,12.6398968756991,9.43802248728956,10.1263560160412,10.9421185895749,7.65585267744275,11.8237254807568,10.2170125502741,10.0423570610474,9.36332441665713,9.00593326412731,9.80939836560849
"hsa-miR-199a-5p",10.4864328205454,10.5753406971577,10.684345380769,11.2731020532564,8.4309124680726,9.591840209357,8.5919336850852,6.03518399661834,8.34974564767099,8.49281457256712,7.78221196336343,9.01875655947608,8.78240856492737,9.37892339149539,9.02937005875535
"hsa-miR-150-5p",8.38543103719352,9.57053882838992,8.33230513996741,11.9542326681707,10.9647596073796,8.12427643198856,11.33044635736,7.48775965860139,9.11483549158675,6.952450058359,7.48775965860139,7.32732808262995,8.09987376558251,8.58296990558852,8.57330635313156
