"","GSM867220","GSM867221","GSM867222","GSM867223","GSM867224","GSM867225","GSM867226"
"hsa-miR-596",4.17892,4.13177,4.35383,4.04602,4.29383,3.75474,4.76433
"hsa-miR-200c",5.99278,5.64066,3.85143,4.40519,1.86888,2.43601,5.30411
"hsa-miR-618",3.67472,3.05609,2.33291,2.50265,5.87905,4.85071,7.12599
"hsa-miR-199b",5.8585,5.37934,5.2993,5.40817,2.85058,2.3815,2.23656
"hsa-miR-1285-2 ",5.38698,5.00613,5.09494,3.72959,3.44806,3.0304,3.66635
"hsa-miR-613",3.64208,2.68001,2.67611,2.73817,5.43578,5.24314,6.88519
"hsa-miR-1200",2.34251,2.00292,2.41595,2.66469,6.63338,6.09131,7.12963
"hsa-miR-1202",3.7621,3.29336,7.0899,7.26416,2.74452,3.06603,2.04493
"hsa-miR-1181",4.56661,4.44892,5.19283,3.20992,4.13557,3.63935,4.00068
"hsa-miR-1226",3.98253,4.16517,2.61986,3.40449,5.70426,5.06168,4.11405
"hsa-miR-525",5.04251,5.72669,5.36139,3.6752,3.49922,3.24221,2.42923
"hsa-miR-660",5.32207,5.2585,4.63036,4.70798,3.48307,3.62724,1.94691
"hsa-miR-661",2.31507,3.11051,3.06419,4.13925,5.18936,4.91186,6.2254
"hsa-miR-331",5.89131,5.95701,4.71358,3.53209,2.96275,3.55144,2.21771
"hsa-miR-636",4.40148,3.24737,2.96893,2.96494,4.81751,4.84941,5.5059
"hsa-miR-921",3.24859,4.29968,6.51301,5.78253,2.73604,3.72267,2.44528
"hsa-miR-595",2.25693,2.96162,6.08406,5.71701,3.46835,4.26652,3.9323
"hsa-miR-218-1 ",2.983,2.13372,2.9594,1.5964,5.845,5.78518,7.30628
"hsa-miR-570",3.80561,3.81865,5.09044,4.56749,3.25137,3.92844,4.00433
"hsa-miR-551b",5.57274,4.74335,4.16917,5.24015,3.1623,2.82137,2.67134
"hsa-miR-19a",5.87169,6.08188,5.24554,3.6333,1.91932,3.01126,2.51577
"hsa-miR-541",3.49287,1.73943,3.35682,2.7315,4.41371,4.73506,7.79522
"hsa-miR-181d",5.67891,5.77332,4.43134,4.15332,2.4837,3.09042,2.64812
"hsa-miR-665",3.12137,2.68228,6.18577,6.36784,3.09301,2.98395,3.66204
"hsa-miR-155",3.04038,2.35727,1.62121,1.54916,8.02497,8.5467,2.93924
"hsa-miR-329-1 ",2.16384,1.84379,2.25486,3.67131,5.86831,5.45507,6.78632
"hsa-miR-335",2.42354,2.1397,2.69103,2.83386,4.94063,5.39758,7.61586
"hsa-miR-181c",5.22108,5.31705,1.9686,3.52267,3.95421,4.01736,4.03218
"hsa-miR-29c",2.90717,3.29752,1.91417,1.56382,5.60791,5.30135,7.43408
"hsa-miR-1287",5.48329,4.79581,4.98888,4.09932,2.71687,3.32882,2.51365
"hsa-miR-363",4.33743,2.77241,3.0123,3.03452,4.73794,4.55781,5.43354
"hsa-miR-891a",3.20371,2.20218,2.98996,2.40426,5.02457,5.47363,6.45079
"hsa-miR-597",2.58156,1.72535,2.09691,2.81418,5.24504,5.4334,7.81138
"hsa-miR-487b",3.85874,3.06751,3.00196,2.98969,4.84228,4.75429,5.17307
"hsa-miR-1254",4.31148,3.6362,3.87833,5.27749,3.54266,3.92267,3.1139
"hsa-miR-657",2.85924,2.66178,2.55331,2.19897,5.61134,5.17646,6.60297
"hsa-miR-338",4.57682,3.92639,4.93743,5.1738,2.95876,2.65534,3.40958
"hsa-miR-557",2.64578,2.76605,4.49511,6.0481,3.87384,3.85456,3.9522
"hsa-miR-1256",3.92437,2.09294,3.71041,1.89063,5.05235,4.84896,5.89875
"hsa-miR-492",3.41646,4.17759,3.88315,4.71952,4.02725,2.78087,4.27667
"hsa-miR-1303",3.69482,3.79037,3.66437,4.24773,3.82087,4.05359,3.92114
"hsa-miR-505",5.17712,5.32683,5.11218,3.28298,2.78255,3.80306,1.60627
"hsa-miR-488",4.25517,4.53478,4.62492,4.43885,2.9689,2.75958,3.46373
"hsa-miR-623",3.59832,4.35133,5.19707,5.06081,3.62037,2.74527,2.38492
"hsa-miR-299",2.54017,3.02,2.52432,2.06099,5.47477,5.2368,6.07994
"hsa-miR-10b",4.72367,5.05935,3.6782,2.99213,3.79047,4.04357,2.63187
"hsa-miR-658",3.11866,3.37866,6.56376,6.09909,2.74452,3.24399,1.7454
"hsa-miR-1300",2.30788,3.54993,7.95264,7.97595,1.74548,1.54056,1.78977
"hsa-miR-484",4.97102,3.889,3.64016,2.36575,3.48214,3.99923,4.47486
"hsa-miR-126",4.93568,4.77999,3.86398,4.4589,2.76619,3.22532,2.69377
"hsa-miR-770",2.07559,3.29752,2.43741,2.68759,5.018,5.27094,5.89352
"hsa-miR-370",2.8436,3.40662,5.23843,5.7071,2.70319,2.99593,3.75128
"hsa-miR-323",2.38702,1.69478,3.14787,4.00502,4.92159,4.7357,5.72928
"hsa-miR-576",2.62098,1.58215,2.14027,2.55963,5.3047,5.13167,7.16141
"hsa-miR-145",4.36392,2.94046,3.05752,2.27779,4.23662,4.26965,5.33584
"hsa-miR-612",3.52048,3.09934,3.67391,3.86011,3.72577,4.06024,4.3823
"hsa-miR-521-2 ",3.1476,2.95737,2.26074,3.05539,4.72232,4.67829,5.4837
"hsa-miR-139",3.66748,3.18434,3.01768,2.64676,3.9542,4.58031,5.24012
"hsa-miR-517b",4.60188,4.64655,2.5122,3.50078,3.53308,4.33962,3.14994
"hsa-miR-1224",2.22877,3.49083,7.35671,7.47094,2.01973,2.00523,1.66194
"hsa-miR-760",3.70396,4.90359,4.54342,3.92967,3.10596,3.70553,2.20747
"hsa-miR-938",4.29126,4.74727,3.57777,4.5595,2.37124,3.24291,3.24229
"hsa-miR-659",3.67116,1.82893,5.25882,5.826,2.54341,2.85465,3.90854
"hsa-miR-1269",4.21093,3.8896,2.98879,2.48414,3.84056,3.83841,4.62711
"hsa-miR-33a",2.01648,2.12766,1.71502,2.19419,5.70275,5.26643,6.85187
"hsa-miR-205",2.45206,1.66586,1.52606,2.50391,5.97207,5.44728,6.25696
"hsa-miR-202",4.70454,5.22818,6.04834,4.5466,1.75166,1.76922,1.75652
"hsa-miR-223",3.98924,3.43632,3.74824,4.37445,3.29402,3.1705,3.75976
"hsa-miR-301a",5.6587,5.58576,4.44419,3.72353,2.19358,2.39893,1.76084
"hsa-miR-518f",4.51962,5.39691,3.76363,3.57102,2.81946,2.36951,3.22066
"hsa-miR-497",3.37021,4.82413,4.06918,2.42115,3.54749,3.57588,3.76249
"hsa-miR-183",5.7718,4.78304,4.03888,3.43741,2.13879,2.91681,2.44612
"hsa-miR-486",2.89448,1.5696,5.54555,4.724,3.64058,3.00605,4.15044
"hsa-miR-936",4.06135,4.55272,6.58349,5.55931,1.62184,1.66886,1.47801
"hsa-miR-220b",3.44395,2.6406,1.46616,2.28612,5.32974,4.26707,6.09154
"hsa-miR-200b",3.18667,4.94413,4.50083,2.59501,3.44669,4.2032,2.61788
"hsa-miR-1272",4.433,4.95803,5.31622,3.72912,2.57423,2.32702,2.09728
"hsa-miR-302e",2.39245,1.84992,1.53994,1.62939,5.63326,5.4799,6.83288
"hsa-miR-520g",5.04088,5.18112,2.95767,1.83455,3.14187,3.15576,3.72756
"hsa-miR-135a-2 ",2.33005,3.19747,6.11007,6.51536,2.2241,2.23869,2.33914
"hsa-miR-30e",2.96887,4.64403,3.8461,3.80277,3.70211,2.98365,2.99285
"hsa-miR-941-1 ",4.53217,4.76743,3.29561,2.5898,3.64681,3.55696,2.38635
"hsa-miR-148b",5.28204,4.34999,2.09564,2.35473,3.62905,2.69714,4.21401
"hsa-miR-32",3.5824,4.5714,4.63964,3.54235,2.88068,2.95611,2.41772
"hsa-miR-641",4.2509,4.36525,3.71983,4.35223,2.17961,2.84012,2.734
"hsa-miR-650",1.723,2.47117,4.19887,4.19787,4.05998,2.9582,4.81727
"hsa-miR-551a",3.58054,3.14799,2.33904,2.11685,4.29394,4.06402,4.86773
"hsa-miR-522",5.47434,4.90286,4.057,5.35036,1.44831,1.41597,1.69488
"hsa-miR-1204",3.11993,1.49439,1.46267,2.14597,4.89993,5.19019,5.99805
