Unnamed: 0,samples
hsa-miR-3196,25705
hsa-miR-3197,25643
hsa-miR-3198,25592
hsa-miR-32-3p,26297
hsa-miR-32-5p,25633
hsa-miR-3200-3p,25555
hsa-miR-320a,1367
hsa-miR-320b,26112
hsa-miR-320c,25903
hsa-miR-320d,25904
hsa-miR-320e,25699
hsa-miR-323a-3p,25391
hsa-miR-324-3p,26130
hsa-miR-324-5p,26124
hsa-miR-326,26165
hsa-miR-328-3p,25437
hsa-miR-329-3p,25434
hsa-miR-330-3p,26129
hsa-miR-330-5p,26095
hsa-miR-331-3p,26129
hsa-miR-331-5p,26098
hsa-miR-335-3p,25583
hsa-miR-335-5p,25635
hsa-miR-337-3p,26097
hsa-miR-337-5p,26092
hsa-miR-338-3p,26067
hsa-miR-339-3p,26128
hsa-miR-339-5p,26127
hsa-miR-33a-3p,26266
hsa-miR-33a-5p,25634
hsa-miR-33b-3p,25581
hsa-miR-33b-5p,25603
hsa-miR-340-3p,25550
hsa-miR-340-5p,25635
hsa-miR-342-3p,26128
hsa-miR-345-3p,24401
hsa-miR-345-5p,25640
hsa-miR-346,26159
hsa-miR-34a-3p,25579
hsa-miR-34a-5p,25639
hsa-miR-34b-3p,25609
hsa-miR-34b-5p,25575
hsa-miR-34c-3p,26126
hsa-miR-34c-5p,26125
hsa-miR-3529-3p,24315
hsa-miR-3529-5p,24305
hsa-miR-3591-5p,749
hsa-miR-3605-3p,24967
hsa-miR-3605-5p,25001
hsa-miR-3607-3p,777
hsa-miR-3607-5p,745
hsa-miR-3609,24960
hsa-miR-361-3p,26129
hsa-miR-361-5p,26129
hsa-miR-3611,24957
hsa-miR-3614-3p,24963
hsa-miR-3614-5p,25000
hsa-miR-3615,25020
hsa-miR-3616-3p,24912
hsa-miR-3617-3p,24239
hsa-miR-3617-5p,24924
hsa-miR-3619-3p,24323
hsa-miR-362-3p,26096
hsa-miR-362-5p,26124
hsa-miR-3620-5p,24275
hsa-miR-3622a-5p,24942
hsa-miR-363-3p,25640
hsa-miR-363-5p,25608
hsa-miR-3648,24993
hsa-miR-3651,24994
hsa-miR-3653-3p,384
hsa-miR-3653-5p,365
hsa-miR-3654,24996
hsa-miR-3656,837
hsa-miR-365a-3p,1886
hsa-miR-365a-5p,25327
hsa-miR-365b-3p,354
hsa-miR-365b-5p,24358
hsa-miR-3660,24968
hsa-miR-3661,24962
hsa-miR-3663-3p,24941
hsa-miR-3664-3p,24317
hsa-miR-3679-3p,24941
hsa-miR-3679-5p,24944
hsa-miR-3680-3p,24935
hsa-miR-3680-5p,24902
hsa-miR-3681-5p,24898
hsa-miR-3682-3p,24944
hsa-miR-3687,805
hsa-miR-3689a-5p,1237
hsa-miR-3689b-5p,354
hsa-miR-3689e,404
hsa-miR-369-5p,26097
hsa-miR-3691-3p,24323
hsa-miR-3691-5p,24909
hsa-miR-371b-3p,24321
hsa-miR-373-3p,25602
hsa-miR-374a-3p,25602
hsa-miR-374a-5p,25637
hsa-miR-374b-3p,25547
hsa-miR-374b-5p,25635
hsa-miR-374c-3p,24311
hsa-miR-374c-5p,24987
hsa-miR-375,1379
hsa-miR-376c-3p,25629
hsa-miR-377-3p,25637
hsa-miR-378a-3p,25364
hsa-miR-378a-5p,25546
hsa-miR-378c,25702
hsa-miR-378d,24410
hsa-miR-378e,24432
hsa-miR-378g,24429
hsa-miR-378i,24465
hsa-miR-379-5p,25637
hsa-miR-381-3p,25624
hsa-miR-382-5p,25635
hsa-miR-383-3p,24087
hsa-miR-3909,24956
hsa-miR-3912-3p,24730
hsa-miR-3913-3p,24321
hsa-miR-3913-5p,24910
hsa-miR-3916,25018
hsa-miR-3919,24966
hsa-miR-3925-5p,24943
hsa-miR-3928-3p,24790
hsa-miR-3928-5p,24086
hsa-miR-3929,24967
hsa-miR-3934-3p,24271
hsa-miR-3934-5p,24983
hsa-miR-3935,24996
hsa-miR-3937,24992
hsa-miR-3939,24968
hsa-miR-3940-3p,24912
hsa-miR-3940-5p,24353
hsa-miR-3942-5p,24905
hsa-miR-3943,24967
hsa-miR-3944-3p,24910
hsa-miR-3960,24403
hsa-miR-409-3p,26128
hsa-miR-411-5p,25603
hsa-miR-412-5p,24091
hsa-miR-421,26201
hsa-miR-423-3p,26128
hsa-miR-423-5p,26129
hsa-miR-424-3p,25579
hsa-miR-424-5p,25637
hsa-miR-425-3p,25585
hsa-miR-425-5p,25638
hsa-miR-4259,25646
hsa-miR-4268,25615
hsa-miR-4281,25641
hsa-miR-4283,25560
hsa-miR-4284,25705
hsa-miR-4286,25700
hsa-miR-429,26190
hsa-miR-4290,25639
hsa-miR-4291,25643
hsa-miR-4296,25615
hsa-miR-4306,25640
hsa-miR-431-5p,25636
hsa-miR-4315,25556
hsa-miR-4319,25615
hsa-miR-432-5p,25640
hsa-miR-4326,25610
hsa-miR-4417,831
hsa-miR-4421,24428
hsa-miR-4425,24436
hsa-miR-4428,24405
hsa-miR-4429,24402
hsa-miR-4431,24425
hsa-miR-4434,24409
hsa-miR-4435,24378
hsa-miR-4437,24379
hsa-miR-4440,24405
hsa-miR-4443,24461
hsa-miR-4444,24409
hsa-miR-4445-5p,24313
hsa-miR-4449,24410
hsa-miR-4454,24196
hsa-miR-4458,24434
hsa-miR-4459,837
hsa-miR-4461,862
hsa-miR-4463,24411
hsa-miR-4466,24404
hsa-miR-4467,24378
hsa-miR-4468,24402
hsa-miR-4469,24405
hsa-miR-4470,24411
hsa-miR-4474-3p,24323
hsa-miR-4479,24367
hsa-miR-4484,24411
hsa-miR-4485-3p,18307
hsa-miR-4486,24405
hsa-miR-4488,24468
